"DeathRate","Perc_OnlyPrivate","Perc_Private","Perc_Poverty","Perc_MarriedHouse","Avg_Cases","Mean_Male","Mean_Female","BirthRate","Perc_Married","Perc_Unemployed16","Perc_HighSchool25","Perc_HighSchool18_24","Perc_Col18_24","Perc_Bach25","Perc_Emp16","Avg_DeathPerYear","Mean_Income","IncidenceRate"
188.1,57.2,69.8,15.4,47.54051019,781,36.4,38.3,4.702469467,47.6,9.7,32.8,40.2,NA,16.3,60.7,314,53945,470.4
189.2,53.8,66.8,14.7,57.89782736,72,38.9,39.1,5.209698558,56.4,5.2,33.9,46.2,NA,13.6,55.8,35,52185,409.1
182.4,42.8,57.3,22.1,43.55086301,383,37.2,40.1,4.631760644,44.6,12.9,29.7,26.9,NA,15.6,51.4,155,38878,468.5
177.5,NA,64.6,10,55.88080861,114,37.6,39.4,6.28798504,57.7,6.1,36.2,29.7,NA,13.5,61.5,44,52526,475.1
168,46.6,54.4,20.4,51.29451023,7241,31.4,33.6,6.007621442,45.4,12.6,26.2,33.6,44.5,12.3,52.3,2778,51951,423.1
131.6,54.9,69.2,14,49.67188289,30,41.1,41.7,5.760869565,53.6,4,32.3,27.9,NA,13.6,64.7,9,46961,444.6
189.7,40.1,55.6,21.5,55.28885946,94,40.9,42.1,2.292860865,52,9,47.1,36.1,45.8,7.9,46.5,41,35615,445.2
165.2,67.9,82.9,9.2,52.89242769,160,37.1,40,5.95510765,57.2,3.2,30.2,28.3,56.2,19.8,70.8,56,54637,487.9
190.6,31,47.6,24.3,40.38824881,416,44.4,46.8,6.718511986,45.4,14.6,28.3,35.1,NA,10.8,43.7,176,36333,460.1
236,37.9,48.6,27.1,45.95862401,118,32.6,37.3,4,45.5,10.5,35.1,38.8,NA,8.4,48.9,59,32239,475.7
164.8,38.5,45.4,14,64.82635797,47,28.6,29.4,6.114037096,60.6,4,27.9,57.6,NA,8.5,60.9,23,50709,331.1
168.1,46.8,60.7,11.5,51.02164301,266,40,41.1,5.680094387,51,9.4,33.1,41.1,34.3,14.5,56.3,96,62532,441.4
128,48,65.1,17,55.4011976,58,45.5,45.7,3.528435035,50.5,6.7,50.2,41.5,33.8,7,51.3,22,41039,356.3
247.6,32.5,45.4,41.9,43.73804971,36,38.8,45,4.662698413,32.9,10.1,44.6,51,NA,5.9,27.9,22,28524,413.7
191.5,42.9,65.2,14.7,49.27109758,483,44.7,47.9,4.194102491,53.4,10.2,27.7,32,NA,15.7,51.8,190,48824,501.8
194.4,NA,68.1,16.7,43.42926195,1072,35.5,38.3,6.690267073,46.3,8.7,28.6,25,NA,18.2,58.2,420,52448,509.6
162.6,59.6,73.9,26.9,43.06175402,105,27.8,27.9,3.767349636,39.1,7.9,33.9,12.9,NA,15.2,51.8,43,35425,420.1
212.3,44.2,64.2,18.3,48.63609983,27,46.4,50,6.068601583,56.5,1.4,31.7,42.9,NA,19.6,NA,13,36027,458.2
167.3,62.1,77.4,10.7,57.14516912,217,37.8,40.3,6.776406036,57.4,6.7,44.1,44.4,NA,9.7,62.6,92,50774,405
158,36.3,58.8,13.8,51.91693291,16,54.4,55.1,2.073732719,52.4,8,34.5,39.8,NA,14.8,42.4,9,47293,312.8
164.9,58,75.8,12.3,43.30143541,67,40.5,43.8,2.600671141,48.5,1.2,30.2,21.5,NA,18.1,63.5,27,51097,436.3
190.5,47.6,76.1,14.3,54.34226241,107,54.8,55.7,7.278020378,61,8.7,31.1,50.7,NA,16.1,47.2,49,51422,450.4
166.2,NA,74.6,12.9,50.90702948,1962.667684,46.5,49.7,4.141104294,59.6,4,36.3,22,NA,15.1,61.1,12,38848,453.5494221
182.8,NA,68.1,20.5,47.02037259,126,34.6,36.7,5.538105472,47.1,6.5,39.2,35.9,NA,14.1,61,42,51550,526.7
255.8,36.7,47.2,24,44.55768447,39,41.7,40.4,2.629656684,46.7,9.7,31.3,49.1,NA,7.2,48.7,21,-999,492.8
217.7,39.7,56,19.4,54.64772054,25,42.4,45.4,5.076142132,58.7,7.4,41.9,27.6,NA,11,53.8,14,37581,431.6
226.4,NA,43.1,23.1,47.54685197,59,43.4,46,5.050505051,53,10.6,39.2,41.6,NA,8.4,45.3,39,32215,354.7
184.3,42.8,56.2,23.7,54.02644231,72,40,42.1,8.863399374,54.3,12,45.9,43.8,NA,5.8,48.4,29,37633,456.6
182.3,50.3,69.8,16.8,48.20153793,616,40.2,44.5,5.244463933,49.6,9.7,35.6,34.3,45.7,12.5,53,262,46061,448.2
209.1,37,54,20,50.38806694,108,39.5,43.1,5.908289242,46.6,11.5,41.3,38.7,NA,6.7,41,64,36482,356.3
182.5,47.4,69.8,15.8,48.11701412,47,39.3,49,4.516129032,41.1,8.1,44.1,51,NA,8.8,31.6,22,41624,395.4
183.4,44.5,62.3,18.1,56.62865895,155,36.1,38.6,3.172641121,55,9.5,38.8,26.4,NA,10.4,52.6,71,38344,413.5
137.6,78.2,92.3,3.2,53.27138986,55,37.1,38.6,3.066180935,55.3,4.2,7.5,17.5,NA,34.4,72,16,125635,447.7
230.5,44.6,56.5,22,47.0950042,323,34.7,37.2,6.938635585,-999,10.1,39.2,35.9,36.6,7.6,52,151,40269,492.7
227.4,47.6,61.9,18.7,54.94211932,81,41.6,42.7,3.240589198,56.2,9,40.2,41.1,42.3,7.6,48.8,40,44111,465.4
179.7,43,60.3,17.2,49.89264103,219,41.5,44.1,6.549178376,53.1,8.3,34.3,44.3,38.2,8.4,51.4,89,40801,449.1
136.2,NA,74.7,10.4,62.43697479,1962.667684,45.3,50.1,8.951965066,69.1,1.9,37.7,29.1,NA,17.4,62.6,7,50886,453.5494221
134.7,NA,82,9.7,58.26086957,27,47.1,50.6,4.692082111,64.6,1.9,31.7,23.2,42.3,17.3,61.8,10,53721,370.5
195.7,67,83.5,7.5,61.9525003,108,36.3,37.3,6.194544857,56.6,7.4,30.3,43.6,NA,19,63.6,41,76206,491.5
180.8,NA,52.5,19.2,53.84242816,73,30.5,32.6,9.004952724,53.9,5.4,30.8,33.5,NA,10.8,61.4,33,41499,402
161.2,NA,80.7,8.8,56.52616402,1962.667684,40.2,43.6,6.078625702,58.9,3.1,29.1,21.6,NA,19.3,66,70,57878,453.5494221
215,26.7,46.8,20.1,46.75792507,57,40.3,41.2,5.684647303,49,6.7,35.5,34,NA,10.2,46.9,30,35977,415.2
181.1,NA,70.8,15.8,44.48372859,2153,40.9,44.6,5.103967071,45.5,7.8,39.5,31.3,NA,13.3,55.6,836,44222,500
201,NA,59.1,21.3,36.27949323,3882,33.1,35.2,5.992308937,39.4,10.1,28.5,27.7,NA,18.5,60.8,1714,42700,448.5
195.5,60,72.9,10.6,54.36451753,522,39.5,40.5,4.297102051,52.5,7.5,37.8,34.7,NA,13.9,60.7,207,62198,484.3
211.2,32.2,43.3,26.4,40.59765561,93,36.1,41.1,4.429860541,41.6,17,41.2,35.7,NA,7.3,39.9,44,30835,461.6
161.8,68.4,83.4,7.1,55.17681595,4749,39.5,42.5,4.502231194,53.9,6.4,24.8,28.8,NA,26.3,64,1672,79576,490.8
207.8,42.2,60.1,20.8,49.5254298,181,40.6,44.4,4.483306836,50.4,11.5,41.4,34.5,49.1,8.7,46.5,81,36627,475.2
168.9,46.5,61,17.7,50.02280782,1588,34.6,37.3,6.037989127,49.1,10.7,27.2,35.5,42.6,14.5,55.1,586,48554,470.8
162.4,NA,60.7,12.9,50.69974717,1522,32.6,33.5,6.288469602,49.7,7.9,28.8,33.5,NA,15.2,65.2,557,59316,420.8
179.7,61.8,75.9,9.4,57.44373479,180,-999,42.2,4.732975417,57.7,5.3,42.3,34.6,NA,11.5,62.5,72,59266,461.3
191.3,53.3,69.5,13.6,49.73780571,742,40.3,43.2,4.843425569,50.3,9.8,37.5,35.4,44.4,10.9,56.9,291,51205,519.9
128.3,57,74.1,9.1,57.39389024,50,43.3,44,7.272727273,61.3,3.3,38.9,33.2,NA,14.3,64.2,19,56047,370.9
139.4,56,73.7,9.5,62.51512532,160,42.2,44,5.808219178,56.7,8,27.4,25.1,52.4,15.7,56.9,51,66249,417
194,46.3,62.1,16.8,51.38875768,301,38.5,40.8,4.540620142,53.8,8.8,39.2,46.2,32.9,11.7,51.8,128,45235,472.8
188.9,54,66,16.5,39.58795563,3240,35.3,37.7,5.730193853,43.3,7.6,29.1,31.5,41.2,18.2,61.1,1365,46185,453.1
162.3,54.4,72,10.8,52.02079887,1962.667684,43.5,45.8,9.56284153,57.5,3.9,38.6,38.7,NA,12.6,63.2,27,51032,453.5494221
206.1,52.1,64.3,19.6,56.27056673,131,35.5,38,5.915444937,47.9,8.9,43.8,51.7,NA,7.5,48.2,56,47121,475.3
169.2,39.4,62.7,15.7,55.00782632,702,48.7,51,6.292374849,57.4,11.4,27.3,43.4,NA,16.8,46.2,291,47387,419.2
171.1,51.8,72.3,13.8,51.86159024,442,44.4,46.5,4.390138408,53.9,8.5,49.4,42.8,NA,10.5,53.2,177,44326,458.5
114.2,57.4,67.5,11.6,54.25797503,25,35.2,35.3,7.958199357,52.9,8.5,20.1,47.1,NA,30.3,70,8,57644,376.2
161.3,63.4,78.6,10.2,60.89830838,71,38.7,40.8,3.887915937,58.1,2.9,46.6,29.6,NA,12.6,62,27,51958,433.1
186.9,47.1,66.1,18.6,46.07076781,473,30.6,33.3,6.253896381,45.7,8.6,33.2,41,39.8,14.1,NA,201,46071,430.1
185.4,54.6,68.5,12.7,55.86608789,252,36.4,39.5,7.048374906,54.7,9.8,42,50.2,NA,9.7,58.4,85,54540,551.5
211.9,NA,61.9,16.4,55.91549296,257,41.5,44.2,4.286441109,56.3,10.1,37.4,38.9,NA,10.9,NA,104,42452,531.3
201.4,54.3,72.3,10.6,57.8721885,53,46.1,48.6,7.352941176,60.7,3.3,39.2,40.6,NA,12.3,57.4,24,49345,485.1
195.1,NA,59.5,19,57.42217649,101,39.6,42,3.786096257,58.2,9.2,36,45,32.6,7.7,53.3,47,39801,425.8
241.9,33.4,42.8,34,31.49733484,173,32.4,36.8,4.919773478,31.1,15.3,25,26.3,NA,13.8,45.1,87,29297,476.3
217.4,33.8,48.1,35.2,30.98763176,252,36.2,40,8.433257358,33.4,16.4,34.6,35.9,43.3,8.2,43.5,108,26602,503.7
147.8,NA,76.9,9.7,48.39682105,49,42.9,45.8,6.819672131,54.1,3.6,36.1,44.1,NA,16.5,63.8,19,51434,412.7
186.1,52.7,65.6,29.5,36.44386031,212,34.6,33.6,3.145390664,34.6,8.4,39,22.7,NA,9.2,43.4,86,37008,445.9
141.7,64.8,77.1,8.3,50.66310141,2635,39,41.9,4.465658687,52.4,5.9,21.3,28.5,NA,26.4,65.5,846,70687,436.7
126.3,47.6,60.4,9.8,47.78911565,13,45.6,45.3,5.37428023,55.3,3,27.7,72.5,25.6,24,66.8,4,67260,413.3
173,60.4,77.6,9.4,60.9652612,1962.667684,42.6,44.6,5.155718398,61.7,6.9,40.7,37.6,NA,12.7,62,42,56927,453.5494221
201.7,37.9,52,20.4,46.13199018,116,40.5,41.7,7.128810226,49.8,8.3,42.5,39.8,33.6,8.3,54.3,51,36409,468.1
203.6,36.6,51.8,20.1,56.58610272,48,46.7,49.1,3.53569046,56.7,4.4,42.4,42.2,NA,9.7,48.7,24,35895,397.4
174.2,42.7,58.9,18.1,52.36294896,62,40,44.3,3.956148713,51.1,3.4,38.8,46.6,25.8,13.3,52,27,38607,423
162.7,52.2,70.1,14.2,47.30477103,216,40.4,44.2,7.177836855,47.4,5.5,34.6,31,33.5,11.9,53.5,73,-999,494.3
190.3,43,60.1,25.6,40.65934066,122,41,43,4.656703487,44.4,11.4,42,31.6,NA,9.7,42.4,52,32977,458.4
160,44.2,61.3,14,55.08264463,250,42.6,45.2,4.124513619,55.9,5.1,31.9,39.8,NA,15.6,52.4,101,53203,419.3
157,NA,58.5,20.5,54.99848071,48,43,43.4,7.715311005,60.2,8.9,37.3,38.6,NA,10.5,51.1,17,36544,467.5
155.3,60.7,78.6,9.5,55.73047859,65,40.3,44.2,4.12979351,55.2,4.4,32,13.4,70.7,24,65.5,26,53175,439.7
158.7,NA,75.8,11,56.50832819,208,50.2,53.2,4.481380181,62.6,6.2,32.9,31,NA,19.7,55.6,77,49717,449.3
184.5,49.7,65.2,13.8,54.66048081,280,44.2,45.4,4.962317706,56,9.3,38.1,32.7,NA,10.2,52.2,114,45065,460.9
164.4,65.4,79.7,15,44.85169961,715,35.2,36.5,2.489937484,39.6,7.2,24.2,10.7,NA,21.6,60.6,291,57737,415.4
120,NA,83.7,10.4,60.67132867,45,42.8,46.7,6.343283582,64.4,2.2,40.6,28.4,NA,13.1,67.5,19,54421,334.6
170.1,NA,43,25.2,44.28060769,36,33.7,36.1,8.100358423,46.6,13.4,28.1,27.1,NA,15.9,53.3,12,35740,484.6
186.5,56.6,70.4,11.1,55.67095741,212,37.3,39.1,6.541519012,56,8.8,41.1,38.8,NA,10,59.1,95,50997,416.9
229.8,NA,29.6,27.2,36.82926829,25,28.9,29.3,6.625097428,34.6,24.6,35.4,35.5,NA,9.1,NA,10,34936,555.7
143.9,39.9,49.5,22.2,56.43678161,176,30.4,34,6.376628075,51.9,9.3,26.6,35.5,NA,12.8,50.4,70,41437,367.2
177.9,40.6,58.1,21.9,48.21980285,383,41.9,43.1,6.075036075,51.4,12.4,29.9,30.9,45.5,12.6,48.4,159,39234,438
218.3,46.6,61,24,51.74340811,211,40.5,43.2,3.502840141,52.3,8.2,42.3,37.7,NA,8.3,45.4,89,33640,515
194.7,49.8,68.4,13.2,54.27882684,145,43.6,44.9,3.216430924,56.8,8.2,36.6,39.6,30.9,13.5,54.6,64,44693,457
194.3,43.3,62.1,15.8,52.14513361,58,39.4,40.2,2.718894009,55.4,3,35.1,55.3,NA,15,62.8,26,41446,449.2
189.7,NA,64.3,8.9,65.89358799,16,35.2,34,5.503512881,68,3.7,25.8,20.1,NA,19.9,NA,8,66505,411.7
187.5,47.9,65,16.6,54.65468838,230,41.5,42.5,6.309693152,54,9,40.2,28.7,NA,9.6,52.1,111,44780,396.3
168.1,42,55.7,18.1,50.30287152,3846,39.1,41.6,5.501541209,48.3,10.6,36.2,35.1,NA,12.8,49.2,1386,42768,490.2
173.6,51.4,63.9,18.3,39.9972302,3257,35.4,38.7,4.931882987,40.8,9.5,28.8,27.7,NA,16.2,58.8,1254,47278,473.3
201.4,69,83.8,6.2,63.5566516,94,41.9,44.5,2.628490965,60.6,6.1,33,41.3,36.8,16.7,62.8,39,72406,454.3
196.1,44.3,62.7,20.8,55.30440345,110,44.4,47,2.248441674,57.6,9.4,36.2,38.3,NA,8.1,45.3,69,36290,330.8
212.4,NA,64.8,18.1,57.33598975,125,37.8,40.4,4.179860671,49,8.3,42.1,33.1,NA,6.1,45.2,53,39546,494.6
163.5,NA,52.7,17.3,53.35894843,230,29.5,28.8,8.388253538,49.2,7.2,27.3,38,30.4,10.5,60.2,86,55006,420.9
176.4,NA,69.8,9.9,62.21920946,575,38.5,40.5,4.839289566,58.3,6.1,26.9,35.2,NA,18.5,NA,218,67655,456.8
169.3,NA,55.5,18.2,54.22316931,73,38.4,40.8,3.74722134,53.8,12.7,40.2,50,NA,7.3,51.7,25,41818,476.7
164.7,58.2,77.4,10.6,55.1213419,72,38.2,43.6,6.993486459,56.5,2,32.6,25.8,55.3,19,65.5,33,51335,389.2
135.3,27.7,47.1,21.1,51.65816327,68,42.5,48,1.600365798,44.3,12.9,44.5,23.6,NA,5.8,33.3,28,38783,354.9
171.3,38.7,55.3,19.6,49.83339504,48,49,48.6,4.942339374,53.9,9.4,43.3,38.7,NA,10.7,NA,17,35570,492.7
205,35.3,50,23.1,51.3107775,71,49.4,48.5,1.660795169,55.1,8,37.6,37.5,NA,8.7,45.7,35,34452,423.4
166.7,NA,43.6,26,45.51689103,45,35.3,39.1,7.84067086,43.1,10.9,33.3,39.4,NA,5.7,NA,23,35069,323.8
235,NA,47.6,37.4,35.20291838,70,33.2,43.9,2.224694105,30.1,19,32.1,44.3,18.1,5.2,29.6,37,28456,447.4
189.5,45,59.7,19.7,53.55768173,142,41.2,42.5,5.300938708,51.5,8,48.4,39.1,NA,9.3,48.2,60,38387,453.7
222.5,43.5,57.2,16.4,47.99700086,138,40.4,44.2,2.64006449,49,12.1,42.8,39.3,26.1,6.7,48.7,70,40122,439.1
266.2,NA,39.7,38.2,47.61904762,131,37.1,41.4,7.638737758,48.2,15.9,36.9,35.1,NA,5.3,31.6,59,25215,572.1
160,-999,48.9,22.6,48.40989399,113,39.6,41.2,2.338461538,48.3,9.8,41.1,50.2,NA,6.5,49.9,40,40382,434.6
136.5,66.1,85.7,8.5,37.6164403,657,33.8,34,5.34181797,42.9,3.7,8.3,18.9,NA,34.5,74.4,224,107143,369.7
194.4,44.3,59.7,17.5,51.61691542,110,39.1,41.9,5.078698846,53.3,5.4,41,38.4,42.4,10.1,57.9,54,40267,417
174.7,33.5,49,22.3,49.81187291,68,39.7,42.3,4.5,44.6,10,37.5,45.8,36.6,8.2,40.1,32,35256,381.9
196.6,57.9,74.1,9.3,56.42064471,67,38.9,41.6,9.966777409,58.9,5.1,38,48.4,NA,12.4,66.4,30,63166,434.9
206.3,49.6,66,17.6,53.73980054,143,40.7,44.7,5.675616678,56.4,11.5,38.8,46.8,37.7,10.9,54.4,57,43945,536.1
200.1,38,49.8,23.3,46.0656592,57,36.8,43.5,2.079107505,46.4,10.2,42.8,37.5,NA,6.4,49.7,25,36350,467.6
178.6,NA,57.2,20.6,56.701726,134,45,47.8,3.944716384,59.5,11,33.2,42.4,NA,12.9,47.8,49,35974,512.6
197.7,33.2,52,19.7,54.30748193,86,44.3,43.3,9.379671151,55.8,4.5,37,41.6,30.9,11.5,49.7,42,38280,432.1
135,58.9,79.2,9.8,52.71316077,4646,35,39,6.457474103,50.2,5.6,26.4,36.7,NA,21.6,57.5,1562,73985,425.2
151.6,34.2,48.2,19.4,47.01731879,18,38.2,45.2,3.536585366,44.5,2.1,35.3,23.7,NA,11,46.5,9,36684,303
157.4,44.3,66.6,13.7,54.85049834,298,50,51.4,2.851375221,55.5,12.1,27.6,35.3,NA,14.4,43,116,53321,413.9
180.8,44.7,56.6,17.7,50.87269968,150,-999,39.2,5.189340813,49.2,6.6,34.7,30.8,NA,9.5,57.6,59,40198,468.2
218.8,25.8,35.2,23.8,45.52139037,37,27,26.5,9.156279962,39,17.6,43.6,40.5,NA,7.6,51.7,20,45808,338.2
200.3,36.5,57.4,19.8,46.89431397,450,47.1,49.2,5.226215645,49.8,11.7,32.6,38.8,NA,11.4,44.7,209,39956,453.1
183.9,NA,68.8,13.7,50.96784514,181,42.4,44.7,5.278870946,50.1,6.6,35.7,36.1,NA,12.2,NA,81,43998,427.4
167.9,NA,79.3,7.6,56.43371868,1962.667684,37.2,38.7,6.191392604,54.4,6.2,28.4,32.3,NA,20,68.4,497,70868,453.5494221
127.6,41,50.4,27.3,47.79240899,21,40.7,44.1,5.354752343,47.7,7.1,42.2,54.7,NA,4.3,47.1,6,43115,488.4
265.8,24.1,42.5,47,51.10721682,107,37.2,40.4,1.549958483,47.4,19,40.5,48.9,NA,3.2,30.4,51,24265,547.8
177.5,NA,71.8,15.9,47.97968254,620,41.6,46.2,5.713833492,50.4,7.2,50.3,40.2,NA,9.4,52.7,248,40429,471.7
138.1,35.6,45.9,22.9,54.91858887,33,38.1,39,7.34055355,56.3,9.7,32.8,38.1,NA,14.5,48.4,14,33998,326.6
151.9,55.1,74.5,11.2,56.38703527,1962.667684,40.7,45.1,7.744282744,58.8,3.4,36.8,37.9,NA,12.1,63.6,25,51028,453.5494221
160.2,NA,64.8,13.8,60.01590352,204,37.4,39.9,4.945382324,55.1,6,34.4,30.2,NA,17.7,57.5,76,55602,438.5
195.3,43.8,56.4,18,60.85515936,77,40.9,42.6,3.234421365,62.2,7.3,46,45.7,NA,7.1,53.9,39,39158,393.4
178.7,NA,59.6,14.2,52.31515152,139,36.5,38.2,7.321274763,52.1,5.4,33,31.5,45.8,9.8,53.3,50,49012,512.8
160.4,54.4,71.7,10.2,55.00111882,135,40.4,42.8,9.453503746,58.3,4.2,35.8,39.6,34.1,14,65.9,49,56243,479.6
199,40.8,53.8,24.5,43.89416163,248,38.2,40.8,6.247570929,45.8,10.5,32.7,32.5,NA,10.5,49.5,110,36973,463
171.9,48.1,68.9,12.8,57.93067227,23,50.8,51.3,3.462050599,59.9,7.2,39.2,15.7,NA,12,51.1,13,44562,308.2
138.8,45.5,54.5,15.4,44.72000041,10502,36.2,39.2,4.84491139,45.3,8.6,27.3,23.5,NA,19.3,58.7,3405,56866,435.2
192,61.2,74,25.2,44.56280282,482,29.2,31.7,4.40533728,43.6,7.3,25.5,17.1,NA,19.5,56.3,219,41256,406.9
153.4,61.9,78.2,8.3,56.72986062,1948,39.7,42.2,4.433234709,55.6,8.3,19.4,31.2,NA,24.5,55.8,686,75689,460.5
169.9,69.4,84.4,5.3,59.17428972,611,32.7,34.6,7.30321114,59.5,4.4,22.5,25,NA,24.2,69.5,213,74008,463.5
110.4,28,34.9,26.7,53.82231405,8,40.4,36.8,8.859060403,50.2,5.7,24.5,33.9,NA,6.4,44.1,4,32086,214.8
179.9,42,56.7,20.4,46.49507119,47,39,39.3,7.142857143,45.6,7.6,37.5,35.8,NA,11.2,57.3,25,45911,365.5
163,58.8,70.3,10.3,54.87066593,45,33.8,35,6.487488415,56.8,6.4,33.2,35.5,NA,9.5,67.8,19,50758,394.5
167.2,43.5,58.3,18.3,49.95216455,120,38.9,42.4,5.789245447,54.2,8.1,42.1,41.8,NA,11.1,49.5,47,42348,443.9
172.6,55.8,70.2,12.8,54.37152392,168,40.5,42.9,3.515151515,54.4,6.9,38.1,36.3,NA,13.7,58.7,72,50078,406.2
177.9,56.1,71.8,10.3,52.7421835,1962.667684,35,42.6,5.278450363,55.5,5.6,26.5,37.3,NA,18,59.9,25,54701,453.5494221
179.4,25.9,50.7,22.1,54.73812424,68,53.2,53.8,1.330671989,58.3,12.6,42.7,41.4,NA,6.5,37.9,35,33707,365.2
205.2,56.5,67.4,15.9,50.28946353,124,29.9,31.4,5.712260808,50,3.7,35.1,22.2,NA,18.3,61.9,61,45574,436.7
193.6,36,47.1,30.1,39.11189162,177,38.1,41.8,8.279819647,39.7,13.9,39.1,45,29.8,10.7,46.9,77,32283,445.3
141.6,67.1,83.5,8.2,50.32513963,403,35.4,38.2,6.137971127,53.9,2.3,24.5,33.2,NA,23.5,70.4,137,66734,438.9
114.5,65.5,75.6,7.1,64.6571958,81,32.5,33.2,3.613892365,59.1,4.7,20.7,37.8,NA,22.5,66.2,20,65207,432.5
233,35.5,49.5,25.1,40.52689699,119,40.2,42.1,5.670985089,41.5,7.9,45.3,45.2,NA,6.1,38.6,52,32427,532.1
171.1,34.9,63.6,17.8,49.22178988,49,55.5,55.6,3.276955603,57,13.7,40.6,21.5,NA,10.8,36.7,22,35387,396
167.2,NA,68.5,11.5,53.27640985,1962.667684,42.5,44.3,8.914100486,56.4,2.6,36,29.7,NA,11.8,65.6,33,51274,453.5494221
202.9,43,54.5,20.6,52.7820711,72,40.1,42.1,5.23255814,53.6,6.1,43.3,40.2,NA,4.5,48.9,32,35219,460.2
159.7,51.3,71.2,13.4,56.33298209,68,42,45.5,7.021791768,62.4,2.3,32.8,33.2,NA,14.6,66,29,45644,429.8
154.9,65.4,80.1,7.9,52.46457038,1021,43.1,45.5,4.041212898,52.2,6,26.8,31,NA,22.2,64.2,339,76365,488.8
186.7,51.5,69.5,14.6,49.96487068,792,41.9,45.3,4.669101054,49.3,6.8,44.4,37.8,NA,13.9,52.7,320,43559,501.6
154.6,64.6,81.4,9.1,52.66284523,1332,39.4,42.1,4.691477538,52.6,5.6,35,22.8,NA,20.3,61.4,473,62692,460.3
197.6,31,47.9,39.9,30.93245666,49,35.6,44.3,8.631578947,30,22.6,39.4,29.9,NA,10,35.5,23,25530,400.8
248.1,NA,63.6,18.6,51.97446556,121,39.3,42.6,5.546875,53.3,6.2,38.3,31.8,42.3,7.5,52.4,53,40260,578.9
181.9,NA,65.1,14.4,60.39402174,50,42.8,46.8,7.260963336,60.6,6.6,43.5,23.8,NA,9.5,NA,21,42555,463.5
164.3,NA,75.8,10.7,53.57500501,88,44.6,46.6,5.503465145,54.6,6.5,40.3,39.6,NA,12.4,56.6,32,53732,490.6
192.5,52.5,66.2,17.9,48.36061762,622,38.1,42.2,5.182440874,48.5,9.8,39.2,38.8,NA,10.9,52.3,256,46243,476
184.3,NA,61.6,14,50.6080207,54,36.5,35.9,4.737575476,55.2,2.5,31.7,29.1,NA,14.7,62.7,24,46838,427.2
154.8,67.4,80.5,9.6,58.76956073,875,37.2,38.6,4.49704142,57.4,5.5,21.4,27.8,NA,26.9,63.7,288,69432,452.9
152.7,64.7,75.8,11.3,46.8503058,8999,36.4,38,5.202119227,49.5,6.3,16.5,23.1,NA,29.6,64.9,2939,75738,464.2
172.8,NA,69.5,13.5,50.7687802,102,38.2,41.5,4.706770702,50.1,9.2,35,22,NA,15.3,57,41,44180,459.7
211.3,NA,54.6,20.8,55.78764143,60,38.1,42.9,5.472636816,55.7,3.9,35,34.9,28.3,14.2,50.2,28,44110,457.8
215.9,69.2,77,7.1,56.15648201,146,32.4,32.9,5.19665272,56.6,4,34.4,37.6,NA,14.7,73.6,58,79358,436.5
212.2,45.8,60.3,20.4,46.95113161,135,40.9,43.5,4.203655352,42.5,6.5,43.5,28.8,35.5,8.9,43.6,48,41651,570.8
293.9,44.1,63.1,18.4,44.93794905,1962.667684,46.9,48.6,6.818181818,53.6,4.6,38.8,46.1,41.1,12.7,59.7,16,35502,453.5494221
171,35.6,49.6,28.2,35.63437926,55,35.7,41.5,8.165019338,36.7,10.1,31.1,21.9,NA,7.9,42.9,22,33015,432
183.7,45.6,65.2,13.8,49.55290611,24,44.1,49.8,9.807692308,57.3,3,37.4,27,NA,9.2,58.3,9,40496,501.5
153.9,60.4,75.6,9.9,54.18585648,743,39.2,41.7,5.823165636,55.8,5.7,37.1,38.7,NA,16.1,65.2,253,54400,478.1
164.4,53.1,61.5,15.7,46.64438503,1962.667684,29.2,29.6,6.872294372,47.7,9,24.8,23.7,NA,8.5,66.2,29,47381,453.5494221
209.1,44.6,62.2,21.3,52.00381679,51,35.1,39.6,5.356186395,50.1,7.5,38.6,26,NA,13.9,54.6,24,36742,458.3
164.9,58.2,68.4,10.9,58.84967501,1929,35.5,37.3,6.062213529,56.3,6.1,24.3,32.8,NA,21.7,NA,709,70929,438.1
159.5,67.1,79.9,18.7,41.07124285,449,28.5,31.8,4.367123465,37.3,5.9,19.8,13,NA,22.2,54.9,154,51880,479.8
174.2,39.3,58.3,19.3,55.21239889,251,45.6,46.8,3.631082062,57.2,9.4,34.4,35.3,NA,10.7,46.3,106,43823,423.8
186.8,54.4,69.7,14.9,47.85966011,819,37.7,40.2,6.125337107,50.2,8.5,36.8,42.1,NA,13.4,60.1,344,51237,455
259.5,NA,39.3,36.2,45.30500343,50,40.6,42.6,5.395462906,49.7,9.7,38.5,53.9,NA,5.6,34.4,23,25768,570.6
132.5,NA,75.8,8.9,59.85488412,138,51.3,53.3,5.887253541,61.4,7.1,22.4,21.1,NA,22.3,51.9,54,60622,372.9
151.9,39.3,55.5,23.7,45.84717608,83,39.6,39.9,3.950011158,42,7.2,37.7,32.1,34.2,8.8,42.8,34,35491,374.9
211.7,34.4,48.8,23,40.72695275,225,41.3,42.3,6.084407972,42.9,12.4,37.9,39.1,NA,8.8,49.2,105,35558,459
165.3,41,49.4,22.9,35.92963409,886,30.4,34.1,5.066533644,35.8,14.1,32,37.2,NA,12.2,57.2,291,42985,452.9
185.4,44.7,61.7,17.5,44.47794949,210,42,45.1,5.456570156,47.9,10.4,38.3,29,43.4,12.1,58.2,84,42279,481.6
